save_id,value,trackName
bi8wnhce5hjd7qbkh587hw25l5polgnt,"A had a lot of bass noticable, B sounds more balanced overall.",midnights_fyp_p2
lt601o74ixkhkj4lzjh2s2k5mctns54h,"Snare is a bit too loud in selected. Dig mid range of bass. opposite vocals seem a little too harsh at 4kHz ish. Low mids clarity is a bit lost, but snare is positioned better.",midnights_no_eq_p2
8sqn5b0nyc2jv91n3vkgud8fphmczft4,"Much louder than other one. Can hear more lowend on selection, feels more like it's had a master job, some warmth into it.",midnights_no_eq_p2
f2nrem6sa71z0v5th10kmf29tz1dsldo,"Selected was less clear than first one but better relationship between kick and bass compared to B, B had better low mids.",midnights_no_eq_p2
0aqdvgro7qjjc7hkhn60m7xjwx5yoqvo,Guitars had a signiificant boost in A.,midnights_fyp_p2
nz2ae3ljcdcc0gi1c71wwmf9uiolr9tp,"Selected felt a bit more clear, not by a lot, but tonal balance felt better.",midnights_no_eq_p2
9muwh3ur2ms2k1wnhubi1n2b47yygj8k,"first one vocals sounded more dominant, but piano sounded more dominant in second one. Would've selected opposite if vocal was more dominant in B compared to selected one.",midnights_fyp_p2
rw4oua9rip2ucujlfmxan74iz0cfab5g,"Vocals much more clearer in the mix in B, felt like it was missing something maybe like more bass? Felt stronger in other frequencies to A",midnights_fyp_p2
o7u4f0y6ueshkwxo127lzbzx1az654ny,"A had too dominant vocals, too bassy. Selected sounded like it had more definition overall.",midnights_fyp_p2
c4zm85wbbgwfsyf63lzyydbtldjcxrfz,"Lots of low end and low mids in A, boost guitar quite a lot - too much.",midnights_fyp_p2
